,Operating Name,Issued,year,postal,area
55007,KALYANII CATERING,22/05/96,1996,M1J3C5,M1J
55008,MOVENPICK RESTAURANT OF SWITZERLAND,19/09/80,1980,M5H3R8,M5H
55009,FUTURE BAKERY AND CAFE,01/01/78,1978,M6J1G1,M6J
55010,MOVENPICK,17/11/81,1981,M5R1C4,M5R
55011,ORIENTAL SEAFOOD HOUSE,20/01/93,1993,M1V5H5,M1V
55012,MOVENPICK,09/06/95,1995,M5V3J4,M5V
55013,AIDA'S FALAFEL,24/06/96,1996,M4Y1Z4,M4Y
55014,CHO RONG,01/01/97,1997,M6G1L5,M6G
55015,COFFEE TIME DONUTS,18/07/95,1995,M6G1M2,M6G
55016,ASMARA SPORTS CLUB,02/06/95,1995,M6E2J8,M6E
55017,BOMBAY HARBOUR,29/01/96,1996,M4L1G1,M4L
55018,ACORNS,01/01/64,1964,M3C1T2,M3C
55019,COFFEE & COFFEE,20/09/95,1995,M4W1A9,M4W
55020,PACHOS CAFETERIA,28/02/88,1988,M6G1A9,M6G
55021,MUBARAK RESTAURANT,31/01/97,1997,M9V1A3,M9V
55022,CAFFE LATTE INC,16/05/96,1996,M4P2E7,M4P
55023,CORIANDER,30/09/92,1992,M2J5A7,M2J
55024,CAFE JA-YA,30/01/80,1980,M5S1V8,M5S
55025,A & W,29/02/96,1996,M5K1A1,M5K
55026,A & W,29/02/96,1996,M9W6K5,M9W
55027,A & W,29/02/96,1996,M4P1E4,M4P
55028,A & W,29/02/96,1996,M5B2H1,M5B
55029,A & W,08/03/96,1996,M1L2K1,M1L
55030,A & W,29/02/96,1996,M9B3Y8,M9B
55031,BARAK SUPER SUBS,11/10/95,1995,M4M1L7,M4M
55032,THE PERFECT CHINESE RESTAURANT LTD.,19/08/96,1996,M1S1T8,M1S
55033,CHUCK'S SALAD WORLD,17/05/96,1996,M3L1B2,M3L
55034,NEW STAR RESTAURANT,21/02/92,1992,M4L1C4,M4L
55035,LUXOR,06/05/96,1996,M3H5W4,M3H
55036,SANG CAFE,01/01/97,1997,M6G1H9,M6G
55037,CANEJO BBQ CHICKENS,10/10/96,1996,M6J1V9,M6J
55038,O'GRADYS BAR & RESTAURANT,11/04/91,1991,M1R4C2,M1R
55039,STARTING GATE DELI RESTAURANT,24/02/88,1988,M4L1G6,M4L
55040,SUBWAY SANDWICHES,02/05/95,1995,M4X1P3,M4X
55041,VIPRAN FAMILY RESTAURANT AND CATERING,29/05/96,1996,M1H2A9,M1H
55042,CENTRAL BURGER FISH & CHIPS,10/07/96,1996,M1P2L8,M1P
55043,LE'S PANZEROTTO & PIZZA,22/10/90,1990,M6H1N1,M6H
55044,TODAY'S DONUT,25/02/94,1994,M1C1B4,M1C
55045,BOCAS CAFE,11/09/87,1987,M6G1C3,M6G
55046,PATAYA RESTAURANT,19/02/97,1997,M4C1M3,M4C
55047,DINO'S PASTA PLUS,02/10/92,1992,M1E3E6,M1E
55048,THE VILLAGE BISTRO BAR,05/08/93,1993,M4Y2E5,M4Y
55049,S. R. SAVUNTH RESTAURANT,06/09/94,1994,M4X1E1,M4X
55050,OL' BLUE EYES CAFE,20/09/95,1995,M4J1N2,M4J
55051,MR. GRILL,13/10/95,1995,M1L1C8,M1L
55052,MOONLIGHTING BAR & GRILL,26/06/96,1996,M8W3T3,M8W
55053,KADBANOO RESTAURANT,10/07/96,1996,M2M3V9,M2M
55054,MR. BEAR BAKER DONUT COMPANY,01/01/95,1995,M1M1T1,M1M
55055,TOM'S DELICATESSEN,12/05/89,1989,M4C1J9,M4C
55056,THE ULTIMATE BAGEL,18/04/94,1994,M5V1J5,M5V
55057,NEW EXCELLENT PEKING HOUSE RESTAURANT,12/09/95,1995,M5T2G8,M5T
55058,PIZZA PIZZA,07/06/93,1993,M4G3C1,M4G
55059,VILLAGE FISH 'N' CHICKEN,21/03/95,1995,M5T2W9,M5T
55060,YONGE FOODS,12/03/96,1996,M2N4P9,M2N
55061,ZORBA THE GREEK,11/03/97,1997,M1R4B7,M1R
55062,FAROS RESTAURANT,15/05/91,1991,M4K1P1,M4K
55063,EMPEROR KITCHEN,30/08/93,1993,M2N6L4,M2N
55064,GOLDEN GRIDDLE FAMILY RESTAURANT,28/02/91,1991,M4S3B2,M4S
55065,ISLAND COVE,09/11/94,1994,M6R1A9,M6R
55066,MADE IN JAPAN,18/07/88,1988,M5B2H1,M5B
55067,BAGEL BLVD,10/07/96,1996,M4N2M8,M4N
55068,SOLID GOLD II,24/10/96,1996,M8Z5G9,M8Z
55069,COFFEE TIME DONUTS,01/01/95,1995,M4J1L2,M4J
55070,COFFEE TIME DONUTS,01/01/96,1996,M4L3P3,M4L
55071,COFFEE DELIGHT DONUTS,29/01/96,1996,M4J1N4,M4J
55072,COFFEE DELIGHT DONUTS,04/04/96,1996,M4J1N4,M4J
55073,STELLA'S PIZZA,24/08/90,1990,M4M1H3,M4M
55074,THE RED LION,07/04/88,1988,M4Y2G8,M4Y
55075,MOON CAVE RESTAURANT & TAVERN,01/01/66,1966,M4J1M6,M4J
55076,THE FONZ' GOOD EATS,18/01/89,1989,M4J1N4,M4J
55077,HANDY COFFEE BAR,01/01/56,1956,M5A1S3,M5A
55078,THE TOOSHEH FAMILY RESTAURANT AND TAKEOUT,22/05/91,1991,M4J1L2,M4J
55079,CHOPSTIX & RICE,26/03/92,1992,M5C2V9,M5C
55080,LONG VAN CAFE,05/05/92,1992,M4J3G8,M4J
55081,KRACOVIA RESTAURANT,02/09/92,1992,M4M1J4,M4M
55082,THE INDIAN RAJ,18/02/93,1993,M4J1L5,M4J
55083,FRANK'S RESTAURANT,07/05/93,1993,M4M1K4,M4M
55084,SUISHYA RESTAURANT,15/07/93,1993,M4J1M1,M4J
55085,QUEENSDALE RESTAURANT,03/02/94,1994,M4M1G9,M4M
55086,BUFFALO 11 RESTAURANT,28/02/94,1994,M5A1S3,M5A
55087,NEON COWBOY LTD,07/11/94,1994,M4M1H1,M4M
55088,BARWAAQO RESTAURANT,22/02/95,1995,M6P1A7,M6P
55089,IMAZ CAFE SHIN & KWACK PARTNERSHIP,27/07/95,1995,M5A2G4,M5A
55090,CHOBOIBAR,16/08/95,1995,M4J1L5,M4J
55091,MARIANA'S RESTAURANT,08/09/95,1995,M4J1L6,M4J
55092,NAVARON RESTAURANT,01/11/95,1995,M5A1Z9,M5A
55093,DANFORTH DRAGON RESTAURANT,03/11/95,1995,M4J1L8,M4J
55094,NATURAL HEALTH FOOD STORE & COFFEE PRIME,19/01/96,1996,M4J1N4,M4J
55095,CHANG'S RESTAURANT,04/04/96,1996,M4M1K4,M4M
55096,SUN FA RESTAURANT,14/05/96,1996,M4J1M6,M4J
55097,KIM-DO,21/05/96,1996,M4J1L8,M4J
55098,NEW INDIAN RAJ,24/07/96,1996,M4J1L5,M4J
55099,KALAMARI,08/08/96,1996,M4J1L2,M4J
55100,THE CROISSANT PLACE,07/11/96,1996,M4J1L2,M4J
55101,THE COFFEE & DONUT STOP,16/03/83,1983,M4X1P8,M4X
55102,FRESH COUNTRY CLUB DONUT,15/11/94,1994,M4J5B5,M4J
55103,COFFEE DONUTS,18/10/95,1995,M1E2M8,M1E
55104,BAKER'S DONUTS,15/02/96,1996,M5A2R7,M5A
55105,COFFEE TIME DONUTS,26/06/96,1996,M5B1E4,M5B
55106,DOUBLE PIZZA AND WINGS,09/02/96,1996,M6K2K7,M6K
55107,PRIME PIZZA,07/03/96,1996,M5A3P4,M5A
55108,ELVIS RESTAURANT,22/07/80,1980,M6J1H9,M6J
55109,,03/04/81,1981,M5B1S1,M5B
55110,R P M RESTAURANT,10/02/86,1986,M5A3Y5,M5A
55111,,01/01/69,1969,M5B1J2,M5B
55112,NEW ARISTOCRAT RESTAURANT,26/06/91,1991,M5A3A1,M5A
55113,GREEK KORNER,26/10/94,1994,M5A4L9,M5A
55114,O TOCHA CHURRASQUEIRA,20/04/95,1995,M6J2Z8,M6J
55115,RAJ MAHAL BAR AND DINER,14/08/95,1995,M5B1E1,M5B
55116,DIAMOND CAFE & GRILL,09/11/95,1995,M5B1E4,M5B
55117,DAMOYE RESTAURANTS,11/04/96,1996,M4Y1X4,M4Y
55118, ,15/07/96,1996,M5A3A4,M5A
55119,CIRCLE BEEF BURGERS,01/01/69,1969,M4K3S8,M4K
55120,PHO HOA,28/01/87,1987,M5T1G6,M5T
55121,MR SUBMARINE,17/04/91,1991,M3B2W6,M3B
55122,CHICKENLAND,03/04/92,1992,M9P2L1,M9P
55123,MAGNETIC NORTH,15/10/93,1993,M5C1N8,M5C
55124,LUCKY SOCIAL CLUB,01/01/95,1995,M9L2X2,M9L
55125,THE CHICKEN PLACE,20/04/95,1995,M8Z1M8,M8Z
55126,PARK CAFE,19/03/97,1997,M5A3H6,M5A
55127,COFFEE PALACE,23/09/94,1994,M1R2Y9,M1R
55128,SUBRAS GOURMET PIZZA,07/08/96,1996,M5M1C4,M5M
55129,BO BO RESTAURANT,25/01/88,1988,M5N1B1,M5N
55130,GASPE,05/11/92,1992,M5N1A2,M5N
55131,CANADA CATERING CO LIMITED,17/09/93,1993,M5M4K1,M5M
55132,GREEN VALLEY FRESH FOOD,08/11/94,1994,M4W3G7,M4W
55133,SANGRIA BAR & TAPAS,01/01/95,1995,M5N1B5,M5N
55134,WOOD'S CORNER BAR & GRILL,01/01/95,1995,M5N1A1,M5N
55135,LONE'S CHINESE FOOD,01/05/95,1995,M5N1B1,M5N
55136,QUEEN'S HOUSE RESTAURANT,03/11/95,1995,M6K1L4,M6K
55137,ITAL GOURMET,01/01/96,1996,M5M3Y6,M5M
55138,NITE-CAP CAFE,01/01/96,1996,M5M4A5,M5M
55139,BISTRO WOSTE UROPEAN CUISINE,01/05/97,1997,M4Y2Z1,M4Y
55140,TOV - LI PIZZA & FALAFEL,12/03/91,1991,M2R1Z1,M2R
55141,THE ORIGINAL PANZEROTTO AND PIZZA,16/06/93,1993,M2R3W9,M2R
55142,PAPA JOE'S RESTAURANT,08/02/93,1993,M3K1N7,M3K
55143,SUBWAY SANDWICHES & SALADS,30/04/93,1993,M2R3W9,M2R
55144,CANADA CATERING CO LIMITED,17/09/93,1993,M3K1W3,M3K
55145,3 PIZZAS 3 WINGSS STORE 57,01/01/95,1995,M3J1K7,M3J
55146,AZALEA SZECHUAN CANTONESE & SEAFOOD CUISINE,28/03/95,1995,M2R1Z1,M2R
55147,VIET HUONG NOODLE HUT,28/07/95,1995,M3J3K2,M3J
55148,MR DELICIOUS RESTAURANT,28/09/95,1995,M2R1X8,M2R
55149,TWINN,12/10/95,1995,M3K1E7,M3K
55150,VANDI'S COFFEE HOUSE,14/03/96,1996,M6N1M2,M6N
55151,SPICY DELITES,14/03/96,1996,M6N1M2,M6N
55152,PHO HOA RESTAURANT,04/04/96,1996,M3J1K7,M3J
55153,1000 EUROPEAN FLAVORS,17/04/96,1996,M6N1M2,M6N
55154,TOKYO KITCHEN,06/06/96,1996,M6N1M2,M6N
55155,ASADOR CHARCOAL GRILL LTD,06/06/96,1996,M6N1M2,M6N
55156,DAYLY GOURMET,07/06/96,1996,M6N1M2,M6N
55157,LE CEDRE 2,03/09/96,1996,M3K1E7,M3K
55158,NEW TREASURE RESTAURANT,01/01/75,1975,M5G1C6,M5G
55159,PODKOWA POLISH RESTAURANT,19/02/96,1996,M1R1V2,M1R
55160,BIRCHMOUNT RESTAURANT & TAVERN,01/01/71,1971,M1K1N8,M1K
55161,TUMMY TICKLERS,01/01/77,1977,M2K1E6,M2K
55162,CENTURY CAFE,10/01/97,1997,M4Y2X7,M4Y
55163,YOUNG LOK HOLDINGS INC,16/01/97,1997,M2N6K1,M2N
55164,TIMELESS WEST INDIAN CUISINE,19/02/97,1997,M5B1E4,M5B
55165,SPRING GARDEN DELI & RESTAURANT,13/05/96,1996,M2N3G1,M2N
55166,EMPEROR'S RESTAURANT DEVELOPMENTS,24/10/96,1996,M1T3T8,M1T
55167,TUMMY BOY RESTAURANT,30/10/96,1996,M4J1N2,M4J
55168,SHING CHEONG CONGEE NOODLE,11/03/97,1997,M1S5J5,M1S
55169,MARY'S EATERY INC,18/03/94,1994,M6M3W6,M6M
55170,THE PIZZA & WINGS STORE 18,01/03/95,1995,M4J1L7,M4J
55171,BILAL FOODS,09/04/96,1996,M6M4R8,M6M
55172,THE COFFEE GALLERY,13/05/83,1983,M6L1A4,M6L
55173,QUEENSBURY ARMS,16/10/89,1989,M6M4P4,M6M
55174,CANADA CATERING CO LIMITED,02/09/93,1993,M6L2E5,M6L
55175,CANADA CATERING CO LIMITED,17/09/93,1993,M6L1L7,M6L
55176,HAIFA RESTAURANT,06/04/94,1994,M6B3B6,M6B
55177,TONY'S SPORTS CAFE,10/08/94,1994,M6M4K6,M6M
55178,PACE VILLE CAFE HOT TABLE,19/06/95,1995,M6M2Y4,M6M
55179,C AND R RESTAURANT,01/01/96,1996,M6M2V8,M6M
55180,A & W,01/03/96,1996,M5B2H4,M5B
55181,SHALIMAR CATERING,18/07/96,1996,M6M3W9,M6M
55182,WESTON DONUTS,01/01/94,1994,M6N3R9,M6N
55183,LITTLE VENICE,05/01/95,1995,M8V1B7,M8V
55184,BRIDGELAND DRIVE-IN RESTAURANT,07/03/79,1979,M6A1Y7,M6A
55185,DRAGON HOUSE RESTAURANT,01/01/70,1970,M6N3R9,M6N
55186,,19/05/78,1978,M6A1B1,M6A
55187,CACTUS CANYON CAFE,16/04/92,1992,M6M1T6,M6M
55188,SIBS RESTAURANT,08/03/94,1994,M6A1P7,M6A
55189,ROYAL LION TAVERN,08/11/94,1994,M6A3E8,M6A
55190,NOT JUST CURRIE INC.,15/02/95,1995,M6N4C6,M6N
55191,PICADELLY RESTAURANT & LOUNGE,21/07/95,1995,M6M1T1,M6M
55192,HARRIS AND PEGGY ONE STOP,18/10/95,1995,M6N3P1,M6N
55193,NGU BINH CAFE,14/03/96,1996,M6N4C6,M6N
55194,BANANA HUT,12/04/96,1996,M8V1H7,M8V
55195,PAT AND MARIO'S RESTAURANT,31/07/84,1984,M5E1T3,M5E
55196,LINKS RESTAURANT & TAVERN,29/08/88,1988,M6K1L4,M6K
55197,PLACE FOR SENIORS,13/02/95,1995,M6G2N2,M6G
55198,GOLDEN TURTLE RESTAURANT,18/03/97,1997,M6J2Z5,M6J
55199,,01/01/77,1977,M5V3J6,M5V
55200,"THE SAUSAGE HOUSE, WALLY PARR SAUSAGE",01/01/96,1996,M1P4P5,M1P
55201,CLIFFSIDE RESTAURANT,01/01/72,1972,M3L1S1,M3L
55202,BUDDHA VEGETARIAN,10/01/97,1997,M5T2R8,M5T
55203,SUN FAST FOOD,08/05/97,1997,M5G1P8,M5G
55204,HODORI RESTAURANT,01/01/91,1991,M6G1L3,M6G
55205,DANG'S BBQ DELIGHT,05/03/97,1997,M8V2W1,M8V
55206,HARBORD FISH & CHIPS,06/02/97,1997,M5S1H1,M5S
55207,WENDY'S DELI-CAFE,26/07/96,1996,M5B2C8,M5B
55208,JULIA'S BBQ CHICKEN & PIZZA,01/01/97,1997,M9C3Z8,M9C
55209,BIGG PIZZALAND,09/07/96,1996,M8V1M4,M8V
55210,MIMICO FISH & CHIPS,27/01/94,1994,M8V1R3,M8V
55211,ROSEBUDS,01/01/81,1981,M8V1J5,M8V
55212,BENDALE RESTAURANT,01/01/57,1957,M1H1A4,M1H
55213,MOTHER'S TAKE OUT - DELIVERY,01/01/91,1991,M8V1M4,M8V
55214,CANADA CATERING CO LIMITED,02/09/93,1993,M6A2L3,M6A
55215,CANADA CATERING CO LIMITED,02/09/93,1993,M6A2R1,M6A
55216,SZECHUAN VILLE,21/03/95,1995,M1G2V2,M1G
55217,BETTY'S & ANDY'S TAKE-OUT,01/01/96,1996,M6P1Z3,M6P
55218,DOORRI DOORRI CONER,08/10/96,1996,M6G1K7,M6G
55219,CHATEAU CHANTER,05/11/96,1996,M6H1B6,M6H
55220,TRU-VALU WEST INDIAN & CANADIAN RESTAURANT,14/04/97,1997,M6E1B2,M6E
55221,AZORES COMUNITY CENTRE FOR THE RETIRED,26/03/93,1993,M6G1M5,M6G
55222,BOBBY'S COFFEE & FAST FOOD,10/08/94,1994,M5A1Z8,M5A
55223,CHUBBY'S FOODS,23/07/79,1979,M9W3W8,M9W
55224,JOHN ANDERSON,01/01/79,1979,M1N1V2,M1N
55225,CAFE BAR FOR MY FRIENDS,03/04/91,1991,M6K1V2,M6K
55226,DRUXY'S FAMOUS DELI #21,25/02/91,1991,M4W3E2,M4W
55227,SWEET HOUSE CAFE,01/01/96,1996,M6B2A2,M6B
55228,DELIVERY PIZZA,12/11/91,1991,M1H2A4,M1H
55229,TESSORRO PIZZA & SUBMARINE,10/09/96,1996,M4S2C6,M4S
55230,POLISH FAST FOOD-EURO PASTRY,01/01/96,1996,M6P1Y7,M6P
55231,SARINA'S CAFE,31/01/97,1997,M3K1E2,M3K
55232,CARRIBEAN CUISINE DELIGHT,07/02/95,1995,M3L1B2,M3L
55233,CREPE DE PARIS,20/03/96,1996,M2N6L8,M2N
55234,YONGE ICHIBAN SUSHI,23/04/97,1997,M2N4P9,M2N
55235,SPORONTO,18/03/96,1996,M4G3B7,M4G
55236,NEW YORK PIZZA & CHICKEN,16/05/97,1997,M4B2V7,M4B
55237,V & T FOODS,01/01/79,1979,M3J1Z9,M3J
55238,COFFEE TIME DONUTS,01/01/95,1995,M5H3L5,M5H
55239,ROMEO'S PIZZERIA,22/05/92,1992,M8W1P5,M8W
